#expressedGenes,#expressedDiseaseGenes,lcc,lcczscore
5555,5,1,-0.274352
6038,9,2,1.906608
5893,6,1,-0.274352
7863,11,2,1.472947
7824,13,3,3.353941
5792,7,1,-0.261488
5290,9,2,3.0
5561,10,3,4.559354
8372,13,3,3.775478
7806,15,3,2.883223
7810,17,2,0.686223
2200,5,1,-0.237356
8230,11,2,2.213211
3678,6,1,-0.407189
7671,11,2,1.893204
2130,2,1,-0.100504
7124,8,1,-0.333333
5931,9,1,-0.34641
5028,9,2,1.705606
9474,16,3,2.595543
7434,10,3,4.173205
3209,7,2,2.306227
6452,10,3,4.242641
6121,11,2,1.417843
3579,10,3,3.574756
3972,9,2,2.064742
3374,8,2,2.483064
1237,3,1,-0.301511
6085,10,2,2.478479
823,2,1,-0.142857
6717,11,2,1.439699
5684,9,3,4.81699
1203,1,1,0.0
7090,14,2,1.318418
7421,12,2,2.0
5643,12,2,1.13713
7366,11,3,4.445641
5533,11,2,0.67082
7173,11,2,1.832261
7658,14,2,1.566726
7395,12,2,1.417843
3984,10,2,2.137744
3988,8,2,1.472947
5807,10,2,1.705606
5471,10,3,4.20199
2959,3,1,-0.100504
1623,3,1,-0.229416
6977,11,3,3.986851
2628,4,1,-0.193247
6149,12,2,1.518587
7769,14,3,3.153846
4304,5,1,-0.294884
6845,9,2,1.865992
3228,5,2,5.686241
2338,4,1,-0.217072
4098,9,3,3.668997
8791,17,3,1.551803
5224,10,2,1.839484
6921,10,3,6.040466
4984,10,2,1.581339
9252,19,3,2.031144
2440,4,1,-0.204124
9653,17,3,2.26689
7352,12,3,3.574756
5755,9,2,3.179797
4305,8,1,-0.373632
3614,4,1,-0.274352
1633,3,1,-0.100504
2211,2,1,0.0
880,2,1,-0.100504
7975,13,3,3.552878
6192,13,2,1.051585
5984,11,3,4.151579
7950,11,2,1.483651
7474,12,2,1.477475
9062,15,3,3.49929
4463,5,1,-0.274352
7213,10,2,1.246445
5933,8,3,4.20199
6930,10,2,1.788854
7467,15,4,4.250222
2004,2,1,0.0
8218,13,2,1.257237
7960,14,3,3.11736
4939,13,3,3.574756
1199,5,2,2.024791
7846,14,3,3.010785
5754,12,3,3.353941
3902,7,1,-0.274352
9037,17,3,2.796431
8203,14,3,2.599777
3456,7,1,-0.351562
5900,10,2,2.483064
5169,4,1,-0.142857
9164,17,3,2.89378
5842,10,2,1.383837
5757,7,1,-0.332243
2844,4,1,-0.217072
2298,5,1,-0.252646
6282,11,2,1.788854
8389,15,3,3.149822
4559,9,1,-0.502603
4618,6,1,-0.301511
7168,14,3,1.956703
4517,4,1,-0.175863
4131,4,1,-0.175863
3491,6,1,-0.320358
7930,16,3,2.672558
7628,15,3,2.529822
2099,7,1,-0.408248
3026,3,1,-0.175863
3606,9,3,3.891856
5795,14,3,2.358511
7534,16,3,3.448394
2358,5,1,-0.204124
2930,6,1,-0.314485
6005,13,3,3.548662
6558,11,2,1.439699
1876,3,1,-0.100504
4081,5,1,-0.261488
6704,11,1,-0.457144
6391,7,1,-0.252646
5401,8,2,2.591989
6819,9,1,-0.330477
6584,12,2,1.535019
6319,12,3,2.705185
7888,17,3,2.672558
2435,4,1,-0.217072
3508,6,2,3.644957
7770,18,3,1.67332
6749,6,1,-0.229416
7569,15,3,2.624756
6806,12,3,3.173911
7087,13,3,3.316171
4726,9,2,2.29517
6630,9,1,-0.333333
6669,7,1,-0.294884
4559,5,1,-0.204124
2525,4,1,-0.295837
4262,5,1,-0.274352
6995,12,2,1.339788
6447,13,3,2.80938
5982,11,2,1.472947
7732,14,3,2.284259
2010,4,1,-0.229416
6496,17,4,3.920409
5524,12,3,2.763815
4371,6,2,3.958114
6408,7,1,-0.296217
3369,5,1,-0.239957
4376,9,4,7.632775
3421,5,1,-0.314485
2329,5,1,-0.252646
5943,13,3,3.841749
1920,4,1,-0.204124
5057,7,1,-0.301511
3042,1,1,0.0
7223,12,3,2.584759
4042,4,1,-0.100504
4633,9,3,4.682677
6932,11,3,2.499814
7850,14,4,5.035943
7160,13,3,2.079563
8651,15,3,3.775478
6500,12,3,2.668548
1875,4,1,-0.204124
6157,13,2,1.237597
2208,4,2,3.644957
3234,8,2,2.380476
1709,0,0,0.0
4704,7,1,-0.3386
883,2,1,-0.100504
1512,6,2,1.979831
5150,8,1,-0.100504
6361,12,3,3.944799
2588,5,1,-0.333333
6936,13,3,2.337333
6157,9,3,4.520269
7716,17,3,2.572896
7599,12,3,4.682677
6654,9,2,1.674827
3506,6,1,-0.252646
7160,11,1,-0.436436
3339,9,2,2.067904
7182,11,3,2.453142
2198,2,1,-0.100504
3961,6,2,2.606391
5663,6,1,-0.204124
6717,12,2,2.064742
7713,14,3,2.032002
